"feature";"time"
150;9419
150;8645
250;9123
100;8754
150;2012
250;8786
150;9137
150;9393
100;8782
200;9547
150;7758
100;7898
100;9224
150;9347
100;9080
100;9171
100;9112
100;9334
100;9333
100;6188
300;9065
250;4429
100;6040
300;8821
100;8942
100;8790
350;6538
100;7201
100;9294
100;9220
550;8909
100;9150
150;9184
150;9532
100;7616
100;8799
100;8930
100;8960
100;9051
100;9371
150;5653
100;3807
150;9228
350;9611
100;5780
100;8328
100;9239
550;9271
200;9391
200;8794
100;7782
100;9158
100;9279
100;9017
100;9187
150;9131
150;9242
200;9259
250;3040
400;4867
100;7705
250;3507
100;9187
100;5529
100;9179
200;9179
100;6426
100;4816
150;9127
150;9110
250;8923
300;9154
150;9135
550;9179
250;8990
100;8655
150;8753
100;9011
400;8992
100;7518
100;7724
100;8633
150;8915
150;8870
100;8804
550;8771
150;8772
200;8754
100;8775
550;1414
100;8729
100;5217
150;10041
550;9029
100;5478
350;9046
100;2538
100;9778
100;5548
100;9601
100;9153
150;9208
150;2624
100;9158
100;9178
100;9110
100;8832
150;4696
100;7459
100;8898
200;6755
100;1439
150;10096
150;7896
100;2991
100;7883
100;9241
100;9227
100;9190
200;9113
100;8998
100;9166
350;32
100;7458
100;8614
150;3196
150;10036
100;9829
100;9338
200;6318
100;3376
550;8789
250;7631
100;8844
200;8686
100;9090
100;8734
100;2278
150;7590
100;1914
250;10031
150;9390
300;3083
150;9179
150;9127
250;7453
150;8793
100;144
250;8748
150;6213
100;573
150;3400
200;6397
150;8882
350;9009
150;8979
100;8927
150;10117
100;9096
200;9134
100;5131
100;5940
100;8890
100;8683
250;8727
100;4975
100;1668
150;3237
100;8879
250;9232
100;473
200;8960
300;4409
150;7553
150;10136
250;10138
100;2895
100;4006
100;4588
100;4687
200;8872
150;8967
100;4793
250;8796
150;6479
150;8907
100;8783
100;8679
250;8518
150;7923
100;9859
150;7716
250;6115
100;6821
100;9059
200;513
100;9035
200;10080
100;9241
100;8798
150;1500
150;8863
100;3221
100;8753
100;5776
100;6777
100;1494
250;8907
200;6171
100;8833
100;9159
100;5887
150;4500
200;3901
100;8961
200;5486
150;7551
350;8946
150;9390
150;8105
250;11786
100;10023
100;9532
100;9834
150;10875
150;10634
200;9490
100;3489
100;9369
100;9153
100;8788
100;3374
100;9144
100;8734
150;9583
350;8049
300;1724
100;8863
100;7501
100;2054
100;9138
150;498
150;8980
200;6121
100;7487
250;9627
100;3783
100;8828
200;8149
100;2987
100;9691
250;9642
100;9250
250;7210
200;9001
150;9307
