"feature";"time"
0;14977
1;14945
1;14901
1;14852
1;14841
1;14828
1;14770
0;14713
1;14676
1;14652
1;14612
1;14601
1;14561
1;14535
1;14492
1;14440
1;14355
1;14159
0;14088
1;14038
1;14021
1;13981
1;13977
1;13946
1;13903
1;13897
1;13850
1;13803
1;13798
1;13792
1;13765
1;13733
1;13724
1;13714
1;13703
1;13694
1;13626
1;13625
1;13578
1;13578
1;13576
1;13541
1;13524
1;13516
1;13513
1;13510
1;13484
1;13462
0;13436
1;13427
1;13415
1;13414
1;13347
1;13313
1;13313
1;13312
1;13300
1;13300
1;13299
1;13265
1;13260
1;13231
0;13225
1;13196
1;13195
1;13177
1;13136
0;13123
1;13118
1;12989
0;12960
0;12960
0;12960
0;12960
1;12960
1;12960
0;12960
0;12960
0;12960
0;12960
0;12960
0;12960
1;12960
0;12960
0;12960
0;12960
1;12933
1;12870
0;12766
1;12707
1;12640
1;12634
1;12630
1;12486
1;12453
0;12425
1;12417
1;12377
1;12346
1;12341
1;12331
1;12289
1;12272
1;12257
1;12247
1;12222
1;12173
0;12140
1;12136
1;12124
0;12050
1;12040
1;12035
0;12025
1;11988
1;11977
1;11912
1;11845
1;11826
1;11813
1;11801
1;11786
1;11781
0;11775
1;11743
1;11737
1;11726
1;11706
1;11688
1;11672
1;11666
1;11665
0;11637
0;11636
1;11635
1;11635
1;11634
1;11634
1;11633
1;11633
1;11632
1;11632
1;11631
1;11631
1;11630
1;11630
1;11630
1;11629
1;11629
1;11629
1;11628
1;11626
1;11625
1;11625
0;11625
1;11624
1;11624
0;11624
1;11624
1;11624
1;11624
1;11623
0;11623
1;11623
1;11623
1;11622
1;11622
1;11622
1;11622
1;11622
1;11621
1;11621
1;11621
1;11620
1;11620
1;11620
1;11620
1;11620
1;11619
1;11619
1;11619
1;11619
1;11619
1;11619
1;11619
1;11618
1;11618
1;11618
1;11618
1;11618
0;11617
0;11617
1;11617
1;11616
0;11616
1;11616
1;11615
1;11615
1;11615
1;11615
1;11615
1;11614
1;11614
1;11614
1;11614
1;11614
0;11614
0;11614
1;11613
1;11613
1;11613
1;11613
1;11612
1;11612
1;11612
0;11612
1;11611
1;11611
1;11611
1;11611
1;11611
1;11611
0;11611
1;11611
1;11610
1;11610
1;11610
1;11610
1;11610
1;11610
1;11610
0;11609
1;11609
1;11609
1;11609
1;11609
1;11609
1;11609
1;11609
1;11609
1;11609
0;11609
1;11608
1;11608
1;11608
0;11608
1;11608
1;11607
1;11607
1;11607
1;11607
1;11607
0;11607
1;11607
1;11607
1;11607
1;11607
1;11606
1;11606
0;11606
1;11606
1;11606
1;11606
1;11606
1;11606
1;11606
1;11605
1;11605
1;11605
0;11605
1;11605
1;11605
1;11605
1;11605
1;11605
1;11605
1;11604
1;11604
1;11604
1;11604
1;11604
1;11604
1;11604
1;11604
1;11603
1;11603
0;11603
1;11603
1;11603
1;11603
1;11603
1;11603
1;11602
1;11602
0;11602
1;11602
1;11602
0;11602
1;11602
1;11602
1;11602
1;11602
1;11602
1;11601
1;11601
0;11601
1;11601
1;11601
1;11601
1;11601
0;11600
1;11600
1;11600
0;11600
0;11600
1;11600
1;11600
1;11600
1;11600
1;11600
1;11599
0;11599
1;11599
1;11599
1;11599
1;11599
1;11599
1;11599
1;11599
1;11598
0;11598
0;11598
1;11598
