"feature";"time"
5;7556
5;1690
5;10374
5;397
4;2644
6;415
5;7805
4;114
5;3375
4;9
5;8925
6;2337
5;3073
6;5976
5;0
6;4541
5;5489
5;1670
5;4780
5;6227
5;6227
5;6227
5;6227
5;6227
5;6227
5;6227
5;6227
5;6227
5;6227
5;6669
4;9630
4;9630
4;9630
5;2193
5;177
5;9427
5;530
5;1822
6;5912
5;9962
6;2262
6;3245
5;5047
5;181
5;5611
5;6260
6;4950
5;8766
4;6107
5;7752
5;4905
5;9429
4;857
5;1085
5;5674
6;179
6;4824
5;2827
5;9222
6;6203
5;1268
5;97
5;5898
5;7636
5;632
5;775
5;6601
5;2659
4;6086
5;6275
5;2050
5;6004
5;1356
4;64
5;1663
5;8628
5;778
6;49
6;3298
5;8547
5;9795
6;3181
5;2043
5;8415
5;3734
5;1712
5;56
6;523
6;8343
5;7113
5;340
4;5742
5;1861
6;4137
5;5372
5;44
5;937
4;220
5;787
6;5117
5;16
6;408
5;8419
6;174
6;66
5;7278
5;5106
5;1416
4;3585
5;7785
6;807
6;13
6;490
5;1670
5;302
6;2
6;9709
6;78
4;27
4;3093
5;2480
4;3024
6;1827
5;1190
5;8825
5;5044
5;853
5;36
5;7085
5;1764
5;8887
4;2263
6;2059
5;6238
6;2213
5;4571
5;3583
6;9350
6;9417
5;3577
5;7581
5;5388
5;6027
5;1515
6;7463
6;1891
6;2911
5;441
5;4254
5;4795
5;467
6;457
5;5540
5;585
6;806
5;9038
5;8714
5;6124
6;6983
5;2318
5;984
4;7885
6;6658
5;7280
5;7968
6;6062
4;31
4;255
5;8145
5;525
6;4524
5;7416
5;6447
4;7964
5;27
5;7174
5;609
5;1313
4;1795
5;4115
6;818
4;14
6;59
5;3620
4;6430
4;304
6;60
6;7181
5;6341
5;2381
5;9
6;1927
6;696
5;6957
5;144
5;7287
5;1476
4;6043
6;6819
6;1526
6;8807
4;2249
5;8030
5;90
5;79
5;846
4;140
5;125
4;2242
5;1175
5;23
4;5859
4;12
5;971
5;2572
5;2879
6;2047
4;5
5;4209
5;276
5;2602
6;6842
6;8574
5;6801
6;6379
5;1440
5;1433
6;2015
6;12
6;10
5;8172
5;5848
6;506
6;5473
6;2993
6;7401
5;881
6;1219
4;437
5;3555
5;1306
6;562
6;1140
6;8364
6;2536
5;102
5;38
4;10
5;2777
6;15
6;94
5;5061
4;1606
5;130
6;2365
5;991
5;6805
5;77
5;7227
5;408
5;2330
5;46
5;10017
5;9614
5;3404
5;3848
5;9399
5;4738
6;5811
6;2679
5;5739
5;1916
6;66
6;2198
6;23
5;7442
5;2901
6;3629
5;6783
4;4742
5;270
5;8611
5;5381
5;6069
4;2045
6;980
5;1019
6;1612
6;202
6;1528
6;6809
5;1609
5;8384
6;4907
6;2657
5;4391
4;967
6;250
4;2499
5;18
5;8149
5;5549
5;3873
4;75
5;8827
5;3908
6;1720
4;16
5;6535
6;1697
5;2491
5;1910
5;1824
6;8075
5;4876
5;4272
5;312
5;2299
5;1244
5;6129
5;1961
5;3909
6;4
6;4277
6;1820
6;17
5;1623
5;985
5;386
4;7877
5;9618
5;2146
5;3248
5;7331
5;8484
6;39
6;8624
5;64
5;797
5;22
5;1853
5;6770
5;84
5;838
5;5
4;13
4;800
5;289
5;2278
5;7680
5;1625
6;3193
6;7361
6;28
4;4584
5;1275
5;1495
5;9384
5;2448
6;6461
5;176
6;5373
5;46
5;8663
5;9463
4;15
5;1022
5;4791
5;989
5;9910
6;9677
5;29
5;9130
5;8283
6;6818
5;3153
5;5920
5;6291
5;44
6;2614
6;5530
6;37
6;8938
5;7648
6;2896
5;37
6;7916
6;5301
6;9180
5;2379
5;2971
6;6143
4;3839
6;3982
5;5
5;4877
5;5722
4;758
5;7479
6;1310
5;1418
5;49
5;5214
6;64
5;3334
5;7971
5;487
5;2175
4;8001
5;3954
4;976
6;6433
5;261
5;261
5;261
5;1086
5;2816
5;5606
5;9451
4;974
5;3367
6;942
5;5016
5;7701
6;6159
5;4439
5;7103
6;2655
5;259
5;2328
5;4387
5;2680
5;4232
6;4843
6;5818
6;202
5;1436
5;322
6;5806
5;163
5;41
6;3674
4;2915
5;3558
4;883
4;9243
5;8351
5;3113
5;98
5;431
5;5780
6;383
5;2266
5;4229
5;7431
5;1724
5;5284
6;1245
5;3648
6;362
6;730
6;309
4;4660
6;6428
6;2204
6;1142
5;7167
4;225
5;1500
6;4386
6;7371
6;124
5;3579
5;911
4;4628
5;4085
5;6714
5;1220
6;6643
5;15
5;2804
6;3500
6;4412
4;368
5;4859
6;5923
5;4488
5;4419
5;1056
5;7997
5;1178
4;9605
6;904
4;2364
6;5179
6;5155
5;30
5;4968
5;2162
5;1386
5;4210
5;6071
6;1795
6;1730
6;13
5;7314
5;8299
3;2455
6;3102
5;25
5;7563
6;2938
5;6972
5;14
5;1134
6;8181
4;46
4;2512
6;9
4;2344
4;99
6;8410
5;9070
5;2911
5;37
5;3253
5;8615
4;1394
6;2431
5;9102
4;813
5;68
5;3177
6;3075
6;1773
5;7575
5;4406
5;196
5;1230
6;488
5;3610
6;8309
6;514
5;2342
5;3048
5;520
5;9360
6;843
5;122
5;27
5;88
5;3109
5;9824
6;4303
5;201
4;6355
6;1494
5;4489
5;9753
6;2531
5;1215
5;6943
5;7012
5;8949
5;2782
6;427
6;7670
5;3030
6;2160
5;490
6;1167
5;4428
5;4561
4;1249
5;1380
5;1728
5;7439
5;6708
5;1091
5;3354
5;4935
5;5390
5;131
5;1368
5;4201
6;1113
5;207
5;927
6;439
4;4809
5;272
6;258
5;7267
5;15
5;1668
5;6487
6;6580
6;806
6;9150
5;2779
6;624
6;624
6;624
5;8514
5;784
5;1201
3;3406
6;5676
5;5528
4;162
6;3792
6;4509
6;7394
6;4207
5;58
5;5345
5;8821
6;555
5;3659
5;8829
5;4650
5;2618
5;1172
5;7919
5;8138
5;2923
5;909
4;516
6;1312
6;5835
5;1271
6;726
6;2168
6;6792
5;8272
5;7107
6;8047
6;3682
6;4387
6;349
6;2888
5;5672
6;8621
5;803
5;35
4;23
5;1074
5;2583
5;378
5;2433
5;835
5;2392
5;13
5;21
5;2376
6;7118
5;3598
5;2905
5;54
6;4997
6;9026
6;1606
5;2536
6;444
5;380
5;175
5;10
5;1412
6;453
6;6545
6;6757
5;39
5;15
5;127
6;6692
5;2467
5;2496
5;1188
6;1985
5;6639
5;352
5;2924
5;3166
5;3660
5;1114
