"id";"feature";"time"
1;0;7556
13;0;1690
15;0;10374
16;0;397
22;0;2644
23;0;415
26;0;7805
27;0;114
29;0;3375
38;0;9
39;0;8925
42;0;2337
45;0;3073
47;0;5976
49;0;0
55;0;4541
58;0;5489
59;0;1670
62;0;4780
64;0;6227
65;0;6227
66;0;6227
67;0;6227
68;0;6227
69;0;6227
70;0;6227
71;0;6227
72;0;6227
73;0;6227
77;0;6669
79;0;9630
80;0;9630
81;0;9630
85;0;2193
89;0;177
91;0;9427
92;0;530
95;0;1822
97;0;5912
101;0;9962
106;0;2262
110;0;3245
111;0;5047
114;0;181
120;0;5611
124;0;6260
131;0;4950
135;0;8766
136;0;6107
138;0;7752
139;0;4905
141;0;9429
142;0;857
144;0;1085
145;0;5674
146;0;179
149;0;4824
152;0;2827
154;0;9222
155;0;6203
165;0;1268
168;0;97
169;0;5898
171;0;7636
172;0;632
173;0;775
181;0;6601
186;0;2659
187;0;6086
188;0;6275
195;0;2050
196;0;6004
198;0;1356
199;0;64
201;0;1663
207;0;8628
209;0;778
217;0;49
218;0;3298
219;0;8547
220;0;9795
221;0;3181
225;0;2043
226;0;8415
227;0;3734
229;0;1712
233;0;56
236;0;523
240;0;8343
241;0;7113
242;0;340
245;0;5742
249;0;1861
252;0;4137
253;0;5372
254;0;44
257;0;937
258;0;220
261;0;787
262;0;5117
263;0;16
265;0;408
266;0;8419
274;0;174
279;0;66
283;0;7278
286;0;5106
287;0;1416
288;0;3585
289;0;7785
290;0;807
292;0;13
293;0;490
296;0;1670
299;0;302
302;0;2
304;0;9709
306;0;78
307;0;27
310;0;3093
311;0;2480
313;0;3024
314;0;1827
315;0;1190
316;0;8825
318;0;5044
321;0;853
324;0;36
327;0;7085
328;0;1764
330;0;8887
333;0;2263
334;0;2059
341;0;6238
342;0;2213
346;0;4571
347;0;3583
348;0;9350
349;0;9417
350;0;3577
351;0;7581
352;0;5388
353;0;6027
361;0;1515
362;0;7463
365;0;1891
367;0;2911
368;0;441
370;0;4254
372;0;4795
378;0;467
379;0;457
380;0;5540
381;0;585
382;0;806
383;0;9038
385;0;8714
388;0;6124
389;0;6983
391;0;2318
392;0;984
393;0;7885
396;0;6658
398;0;7280
401;0;7968
402;0;6062
404;0;31
406;0;255
410;0;8145
411;0;525
412;0;4524
413;0;7416
414;0;6447
421;0;7964
425;0;27
426;0;7174
427;0;609
432;0;1313
433;0;1795
435;0;4115
436;0;818
437;0;14
439;0;59
441;0;3620
443;0;6430
444;0;304
446;0;60
447;0;7181
453;0;6341
459;0;2381
460;0;9
461;0;1927
463;0;696
466;0;6957
467;0;144
469;0;7287
472;0;1476
473;0;6043
474;1;6819
480;0;1526
481;0;8807
482;0;2249
484;0;8030
485;0;90
487;0;79
490;0;846
491;0;140
492;0;125
494;0;2242
495;0;1175
496;0;23
498;0;5859
501;0;12
505;0;971
506;0;2572
512;0;2879
513;0;2047
514;0;5
519;0;4209
520;0;276
521;0;2602
522;0;6842
524;0;8574
525;0;6801
527;0;6379
529;0;1440
532;0;1433
533;1;2015
540;0;12
542;0;10
544;0;8172
549;0;5848
550;0;506
551;0;5473
552;0;2993
554;0;7401
556;0;881
558;0;1219
559;0;437
566;0;3555
567;0;1306
568;0;562
573;0;1140
575;0;8364
578;0;2536
583;0;102
584;0;38
585;0;10
586;0;2777
587;0;15
588;0;94
590;0;5061
591;0;1606
593;0;130
596;0;2365
599;0;991
607;0;6805
608;0;77
611;0;7227
613;0;408
614;0;2330
615;0;46
616;0;10017
620;0;9614
621;0;3404
622;0;3848
623;0;9399
624;0;4738
625;0;5811
634;0;2679
637;0;5739
638;0;1916
641;0;66
642;0;2198
644;0;23
645;0;7442
646;0;2901
648;0;3629
649;0;6783
651;0;4742
652;0;270
653;0;8611
657;0;5381
658;0;6069
660;0;2045
661;0;980
662;0;1019
663;0;1612
668;0;202
671;0;1528
673;0;6809
674;0;1609
677;0;8384
680;0;4907
682;0;2657
683;0;4391
684;0;967
685;0;250
689;0;2499
691;0;18
692;0;8149
693;0;5549
694;0;3873
695;0;75
700;0;8827
701;0;3908
702;0;1720
703;0;16
704;0;6535
707;0;1697
709;0;2491
710;0;1910
