"feature";"time"
6;7556
8;1690
8;10374
8;397
8;2644
8;415
9;7805
9;114
10;3375
10;9
9;8925
10;2337
7;3073
9;5976
8;0
7;4541
7;5489
7;1670
10;4780
9;6227
9;6227
9;6227
9;6227
9;6227
9;6227
9;6227
9;6227
9;6227
9;6227
12;6669
8;9630
8;9630
8;9630
11;2193
10;177
9;9427
8;530
10;1822
9;5912
10;9962
8;2262
10;3245
8;5047
8;181
7;5611
11;6260
8;4950
10;8766
7;6107
9;7752
8;4905
7;9429
9;857
9;1085
9;5674
10;179
10;4824
5;2827
8;9222
7;6203
11;1268
9;97
8;5898
9;7636
10;632
8;775
8;6601
10;2659
7;6086
8;6275
9;2050
8;6004
12;1356
6;64
7;1663
10;8628
7;778
8;49
9;3298
9;8547
11;9795
8;3181
10;2043
9;8415
9;3734
11;1712
9;56
10;523
9;8343
7;7113
9;340
8;5742
7;1861
9;4137
10;5372
9;44
8;937
9;220
9;787
9;5117
7;16
10;408
8;8419
10;174
7;66
9;7278
8;5106
8;1416
8;3585
9;7785
9;807
10;13
10;490
10;1670
10;302
8;2
8;9709
8;78
7;27
7;3093
8;2480
7;3024
9;1827
7;1190
9;8825
8;5044
8;853
8;36
7;7085
8;1764
8;8887
8;2263
10;2059
9;6238
9;2213
11;4571
9;3583
9;9350
7;9417
9;3577
9;7581
10;5388
7;6027
11;1515
9;7463
8;1891
8;2911
9;441
8;4254
8;4795
9;467
10;457
7;5540
8;585
8;806
10;9038
8;8714
7;6124
11;6983
9;2318
8;984
8;7885
9;6658
8;7280
8;7968
10;6062
8;31
8;255
10;8145
9;525
10;4524
10;7416
11;6447
9;7964
9;27
11;7174
10;609
8;1313
7;1795
9;4115
8;818
8;14
10;59
9;3620
7;6430
7;304
9;60
8;7181
8;6341
10;2381
9;9
10;1927
10;696
7;6957
7;144
6;7287
10;1476
8;6043
10;6819
9;1526
9;8807
7;2249
8;8030
9;90
8;79
7;846
9;140
10;125
14;2242
8;1175
6;23
8;5859
9;12
10;971
7;2572
11;2879
10;2047
8;5
9;4209
9;276
11;2602
10;6842
10;8574
10;6801
8;6379
10;1440
10;1433
12;2015
9;12
8;10
10;8172
8;5848
8;506
11;5473
7;2993
9;7401
6;881
9;1219
10;437
8;3555
8;1306
9;562
11;1140
11;8364
8;2536
11;102
8;38
10;10
11;2777
11;15
9;94
10;5061
6;1606
7;130
11;2365
8;991
9;6805
9;77
8;7227
8;408
9;2330
7;46
9;10017
10;9614
10;3404
10;3848
11;9399
9;4738
9;5811
10;2679
8;5739
9;1916
8;66
11;2198
11;23
10;7442
8;2901
10;3629
9;6783
9;4742
8;270
10;8611
10;5381
8;6069
10;2045
11;980
10;1019
8;1612
9;202
8;1528
8;6809
8;1609
9;8384
10;4907
8;2657
8;4391
9;967
11;250
8;2499
7;18
8;8149
9;5549
9;3873
7;75
8;8827
9;3908
10;1720
9;16
10;6535
8;1697
8;2491
8;1910
10;1824
9;8075
8;4876
8;4272
9;312
14;2299
10;1244
9;6129
8;1961
10;3909
9;4
11;4277
8;1820
9;17
8;1623
9;985
8;386
8;7877
7;9618
10;2146
9;3248
8;7331
7;8484
8;39
10;8624
10;64
8;797
9;22
9;1853
11;6770
9;84
8;838
8;5
7;13
10;800
9;289
9;2278
10;7680
7;1625
11;3193
10;7361
10;28
11;4584
10;1275
8;1495
10;9384
8;2448
10;6461
9;176
11;5373
9;46
9;8663
9;9463
9;15
9;1022
8;4791
9;989
9;9910
8;9677
9;29
10;9130
8;8283
10;6818
12;3153
8;5920
9;6291
11;44
9;2614
9;5530
10;37
9;8938
9;7648
10;2896
8;37
6;7916
9;5301
10;9180
10;2379
10;2971
9;6143
10;3839
10;3982
9;5
9;4877
10;5722
8;758
9;7479
8;1310
9;1418
8;49
8;5214
12;64
10;3334
9;7971
8;487
7;2175
8;8001
8;3954
8;976
9;6433
5;261
5;261
5;261
9;1086
11;2816
10;5606
10;9451
9;974
9;3367
11;942
10;5016
9;7701
9;6159
10;4439
9;7103
9;2655
9;259
9;2328
10;4387
9;2680
8;4232
9;4843
8;5818
10;202
9;1436
10;322
9;5806
8;163
9;41
7;3674
8;2915
10;3558
6;883
10;9243
10;8351
9;3113
9;98
9;431
10;5780
12;383
9;2266
7;4229
10;7431
8;1724
9;5284
10;1245
7;3648
10;362
9;730
10;309
7;4660
9;6428
9;2204
9;1142
12;7167
9;225
10;1500
10;4386
9;7371
8;124
10;3579
9;911
9;4628
9;4085
8;6714
9;1220
10;6643
10;15
9;2804
11;3500
7;4412
10;368
10;4859
10;5923
9;4488
10;4419
13;1056
8;7997
9;1178
10;9605
10;904
11;2364
11;5179
8;5155
9;30
9;4968
9;2162
9;1386
11;4210
10;6071
10;1795
9;1730
9;13
9;7314
9;8299
10;2455
8;3102
8;25
9;7563
8;2938
11;6972
9;14
9;1134
10;8181
8;46
9;2512
10;9
9;2344
8;99
11;8410
12;9070
8;2911
10;37
10;3253
12;8615
10;1394
9;2431
10;9102
9;813
9;68
11;3177
9;3075
10;1773
9;7575
8;4406
11;196
10;1230
8;488
9;3610
8;8309
10;514
8;2342
10;3048
9;520
9;9360
10;843
7;122
10;27
9;88
9;3109
10;9824
9;4303
7;201
8;6355
9;1494
10;4489
10;9753
9;2531
9;1215
10;6943
7;7012
7;8949
8;2782
9;427
11;7670
11;3030
10;2160
8;490
9;1167
8;4428
8;4561
10;1249
9;1380
10;1728
9;7439
10;6708
9;1091
9;3354
8;4935
8;5390
9;131
11;1368
9;4201
10;1113
8;207
9;927
10;439
7;4809
11;272
9;258
10;7267
8;15
12;1668
9;6487
8;6580
10;806
9;9150
12;2779
11;624
11;624
11;624
11;8514
9;784
12;1201
9;3406
9;5676
10;5528
10;162
9;3792
8;4509
9;7394
9;4207
11;58
10;5345
9;8821
10;555
7;3659
10;8829
9;4650
10;2618
7;1172
8;7919
9;8138
9;2923
10;909
8;516
9;1312
9;5835
9;1271
8;726
9;2168
9;6792
9;8272
8;7107
10;8047
9;3682
10;4387
10;349
10;2888
10;5672
9;8621
10;803
8;35
8;23
9;1074
9;2583
10;378
6;2433
11;835
10;2392
9;13
9;21
11;2376
8;7118
9;3598
9;2905
10;54
11;4997
10;9026
11;1606
11;2536
10;444
8;380
10;175
7;10
10;1412
9;453
10;6545
10;6757
8;39
9;15
10;127
10;6692
8;2467
11;2496
9;1188
11;1985
10;6639
11;352
6;2924
6;3166
9;3660
12;1114
8;195
10;4115
10;7064
10;1057
8;1095
9;1491
10;45
8;5158
10;3991
10;4917
10;2727
8;35
10;2655
9;1866
9;6095
9;456
8;53
9;8219
9;7805
8;7251
9;2874
6;6342
7;3862
8;1474
11;111
9;93
9;15
11;2461
10;3921
10;5047
9;1845
9;2202
9;6846
10;5422
9;4072
10;2122
9;8511
10;2129
8;2009
9;609
6;809
9;7101
8;7521
8;830
7;9782
10;5152
9;328
7;3294
10;4060
9;10035
9;9421
8;4846
10;1780
9;9015
10;2882
8;5739
10;5783
8;699
8;9504
9;3
9;5000
9;13
9;2005
10;7034
11;1380
10;9
9;3251
10;3066
9;8712
8;5243
9;349
9;1837
7;1566
9;111
9;1034
11;1541
10;404
11;3325
10;2526
4;5892
7;4010
7;196
11;8407
9;3062
9;3478
10;206
9;1191
9;7259
9;3161
10;738
9;6531
8;2581
9;1358
9;3750
9;7488
5;4697
8;298
5;9606
8;2728
9;2389
8;6462
10;730
10;1534
9;6112
10;976
8;6532
8;2008
9;7295
11;3917
9;2142
7;55
13;9267
9;890
10;4160
10;7951
10;1165
9;1219
9;34
7;6721
9;57
9;129
9;1545
10;1549
9;4077
9;6496
9;1386
9;662
7;1028
7;1226
9;402
8;50
10;4757
9;5155
9;2368
9;3458
9;3161
10;6105
9;7141
8;9640
11;6111
9;6062
9;2773
8;7985
7;4241
8;4375
8;73
10;5276
9;6124
9;9195
7;50
10;2309
10;8
8;2875
8;6916
11;4895
9;7602
10;2564
9;1894
9;1652
10;4685
8;2512
8;9160
11;2108
9;1463
7;3053
10;1709
7;648
11;5601
9;2692
6;2984
8;391
9;4620
10;78
10;3436
9;3170
11;3742
9;1295
9;3136
9;9755
9;3211
10;2169
10;4025
8;269
11;10
10;1794
9;280
11;108
8;8275
9;4582
7;5017
9;7294
8;4705
7;7
10;2437
8;302
10;3226
10;19
8;5128
8;4659
8;81
9;72
8;533
10;3492
10;3492
10;3492
13;4536
8;7160
11;93
8;2841
9;7328
10;4731
8;5614
10;5352
10;602
9;5425
11;1274
8;2225
10;6375
10;1937
9;2461
8;6398
6;41
12;23
8;855
10;197
8;5121
10;1012
11;9061
10;2299
10;3476
9;9725
9;6957
9;3897
8;207
11;4673
8;4406
10;1729
9;6078
10;1997
10;3210
9;6051
9;2718
8;55
10;396
12;1470
10;2955
10;8018
11;5884
10;4527
6;75
8;4908
10;57
9;1608
9;9462
9;3445
8;2788
8;1939
12;160
10;1974
8;2665
11;102
7;24
10;126
11;5268
9;3107
10;4074
9;1058
9;1807
9;13
9;1479
10;2434
10;1553
9;3803
10;2754
8;3647
9;1273
7;8499
7;8499
7;8499
11;8203
8;1350
9;1956
8;22
9;7266
10;2608
9;1471
10;516
9;7292
9;907
10;4312
9;9039
11;1924
9;708
11;2363
9;1338
8;1543
7;121
8;1756
9;3772
9;4628
10;5123
6;3034
9;1962
8;342
6;91
10;5490
9;4503
9;2007
10;1339
6;3828
10;5093
11;2830
9;808
8;98
9;7006
10;2478
9;725
10;59
9;2278
10;6017
11;7094
9;3208
8;2302
11;6516
8;8632
8;5734
10;7178
8;1068
8;355
10;1689
9;7389
8;148
8;3837
8;1244
8;6094
9;914
8;7225
9;4021
9;5539
6;4013
9;579
8;227
9;1492
10;2497
10;7348
8;3167
10;799
9;8988
10;6595
10;1031
8;10041
9;6533
8;3690
10;5473
8;917
10;1534
12;2691
11;5262
9;61
8;1917
9;6231
8;2979
7;2407
8;7224
7;6373
9;5132
6;9058
10;626
10;7168
8;2634
10;223
9;5693
8;16
8;8859
10;230
9;6141
8;1999
9;50
10;12
8;623
9;220
8;1297
7;9003
9;9769
7;5180
8;1330
10;8057
7;1848
10;256
10;79
10;6944
7;3813
11;906
10;1479
12;8978
9;6939
10;2173
8;7
10;1453
11;9610
7;2950
10;131
9;316
9;91
9;2014
11;15
9;4370
8;188
9;9784
9;1791
11;2497
9;7929
10;228
