"feature";"time"
100;14355
50;14159
100;14088
100;14038
100;14021
50;13981
100;13977
150;13946
50;13903
100;13897
50;13850
50;13803
100;13798
100;13792
50;13765
100;13733
500;13724
100;13714
100;13703
50;13694
100;13626
100;13625
150;13578
150;13578
100;13576
100;13541
50;13524
100;13516
100;13513
50;13510
50;13484
150;13462
50;13436
50;13427
50;13415
100;13414
100;13347
50;13313
50;13313
100;13312
50;13300
50;13300
50;13299
250;13265
100;13260
100;13231
500;13225
100;13196
50;13195
100;13177
50;13136
50;13123
100;13118
50;12989
500;12960
50;12960
50;12960
50;12960
50;12960
500;12960
500;12960
500;12960
100;12960
50;12960
50;12960
150;12960
50;12960
150;12960
50;12960
50;12960
100;12933
50;12870
500;12766
50;12707
500;12640
100;12634
50;12630
50;12486
50;12453
50;12425
50;12417
50;12377
100;12346
50;12341
50;12331
50;12289
100;12272
350;12257
200;12247
100;12222
50;12173
50;12140
50;12136
200;12124
500;12050
100;12040
50;12035
50;12025
150;11988
50;11977
150;11912
50;11845
300;11826
100;11813
300;11801
250;11786
100;11781
100;11775
100;11743
100;11737
150;11726
50;11706
100;11688
50;11672
250;11666
150;11665
50;11637
50;11636
50;11635
50;11635
50;11634
50;11634
100;11633
100;11633
50;11632
50;11632
50;11631
100;11631
50;11630
50;11630
50;11630
50;11629
50;11629
50;11629
50;11628
50;11626
50;11625
250;11625
100;11625
100;11624
50;11624
50;11624
50;11624
50;11624
50;11624
50;11623
50;11623
50;11623
50;11623
50;11622
50;11622
50;11622
50;11622
50;11622
250;11621
50;11621
50;11621
250;11620
50;11620
50;11620
50;11620
50;11620
50;11619
50;11619
50;11619
200;11619
200;11619
100;11619
50;11619
50;11618
200;11618
50;11618
50;11618
100;11618
200;11617
50;11617
100;11617
50;11616
50;11616
100;11616
50;11615
50;11615
100;11615
100;11615
300;11615
100;11614
50;11614
200;11614
50;11614
150;11614
100;11614
100;11614
50;11613
100;11613
100;11613
50;11613
200;11612
100;11612
50;11612
50;11612
50;11611
100;11611
50;11611
50;11611
50;11611
250;11611
100;11611
50;11611
50;11610
50;11610
50;11610
100;11610
50;11610
50;11610
50;11610
50;11609
300;11609
50;11609
200;11609
50;11609
50;11609
100;11609
50;11609
50;11609
150;11609
150;11609
50;11608
50;11608
50;11608
50;11608
50;11608
50;11607
100;11607
150;11607
50;11607
50;11607
50;11607
50;11607
50;11607
50;11607
50;11607
50;11606
50;11606
50;11606
50;11606
50;11606
50;11606
50;11606
100;11606
50;11606
50;11605
50;11605
50;11605
200;11605
100;11605
50;11605
250;11605
100;11605
50;11605
50;11605
50;11604
50;11604
250;11604
300;11604
100;11604
50;11604
50;11604
100;11604
50;11603
300;11603
100;11603
50;11603
50;11603
100;11603
50;11603
50;11603
50;11602
200;11602
100;11602
100;11602
100;11602
100;11602
100;11602
50;11602
50;11602
50;11602
100;11602
100;11601
50;11601
350;11601
50;11601
50;11601
50;11601
100;11601
50;11600
100;11600
50;11600
100;11600
50;11600
250;11600
50;11600
150;11600
50;11600
50;11600
100;11599
50;11599
50;11599
50;11599
500;11599
50;11599
50;11599
100;11599
50;11599
50;11598
50;11598
300;11598
50;11598
50;11598
250;11598
100;11598
100;11598
50;11598
50;11598
50;11598
50;11598
100;11598
100;11598
100;11598
50;11598
100;11598
50;11598
50;11598
50;11598
100;11597
50;11597
50;11597
100;11597
200;11597
50;11597
150;11597
200;11597
200;11596
400;11596
100;11596
50;11596
200;11596
50;11596
100;11596
100;11596
50;11596
50;11596
50;11596
50;11596
50;11595
100;11595
50;11595
50;11595
300;11595
500;11595
200;11595
50;11595
100;11595
50;11595
50;11594
50;11594
50;11594
50;11594
50;11594
150;11594
50;11594
100;11594
300;11594
100;11594
100;11593
50;11593
50;11593
50;11593
50;11593
100;11593
50;11593
50;11593
150;11593
50;11593
50;11593
50;11593
100;11592
50;11592
50;11592
50;11592
50;11592
100;11592
50;11592
50;11592
100;11592
50;11592
50;11592
50;11591
50;11591
50;11591
50;11591
50;11591
100;11591
50;11591
50;11591
100;11591
50;11590
50;11590
50;11590
50;11590
100;11590
50;11590
50;11590
100;11590
50;11590
50;11590
50;11590
50;11590
50;11590
50;11590
50;11589
50;11589
100;11589
100;11589
50;11589
100;11589
50;11589
100;11589
50;11589
100;11589
50;11589
50;11589
50;11588
50;11588
50;11588
250;11588
50;11588
100;11588
250;11588
50;11588
50;11588
50;11588
100;11587
50;11587
50;11587
50;11587
100;11587
100;11587
50;11587
50;11587
50;11587
50;11587
100;11587
50;11587
50;11586
100;11586
100;11586
500;11586
50;11586
50;11586
300;11586
100;11586
50;11586
50;11586
50;11586
100;11586
50;11586
50;11586
50;11586
50;11586
200;11585
50;11585
50;11585
50;11585
50;11585
100;11585
50;11585
50;11585
50;11585
50;11585
50;11585
50;11585
50;11585
100;11585
50;11584
50;11584
50;11584
50;11584
300;11584
300;11584
100;11584
50;11584
50;11584
50;11584
50;11584
50;11584
100;11584
50;11584
50;11584
50;11584
50;11584
50;11583
50;11583
100;11583
50;11583
100;11583
50;11583
100;11583
50;11583
50;11583
50;11583
50;11583
50;11583
100;11583
50;11583
100;11582
50;11582
50;11582
200;11582
50;11582
150;11582
50;11582
50;11582
200;11582
50;11582
100;11582
50;11582
100;11581
50;11581
50;11581
50;11581
50;11581
100;11581
100;11581
50;11581
50;11581
500;11581
300;11580
50;11580
50;11580
100;11580
50;11580
100;11580
100;11580
50;11579
50;11579
50;11579
50;11579
50;11579
50;11579
100;11579
50;11579
100;11579
50;11579
100;11579
50;11579
100;11579
50;11579
50;11578
200;11578
50;11578
50;11578
50;11578
50;11578
150;11578
50;11578
50;11578
100;11578
50;11578
100;11578
100;11578
300;11578
50;11578
50;11577
100;11577
100;11577
50;11577
50;11577
50;11577
50;11577
100;11577
100;11577
50;11577
50;11577
50;11577
50;11577
150;11577
100;11577
50;11577
100;11577
100;11576
100;11576
50;11576
50;11576
50;11576
50;11576
50;11576
100;11576
50;11576
50;11576
250;11576
400;11576
50;11576
200;11576
150;11576
50;11576
50;11575
50;11575
50;11575
50;11575
50;11575
50;11575
50;11575
50;11575
400;11575
100;11575
50;11575
50;11575
50;11575
50;11575
50;11575
50;11575
100;11575
50;11575
50;11575
50;11575
50;11575
100;11575
50;11575
50;11575
100;11575
100;11575
100;11575
50;11575
50;11575
50;11575
50;11575
50;11575
50;11574
50;11574
100;11574
50;11574
50;11574
50;11574
500;11574
250;11574
50;11574
50;11574
50;11574
50;11574
50;11574
50;11574
50;11574
400;11573
50;11573
50;11573
50;11573
100;11573
50;11573
150;11573
200;11573
100;11573
50;11573
50;11573
500;11573
50;11573
50;11572
100;11572
50;11572
50;11572
100;11572
50;11572
50;11572
100;11572
50;11572
50;11572
50;11572
100;11572
50;11572
100;11572
50;11572
50;11572
150;11572
50;11572
50;11572
200;11571
50;11571
50;11571
50;11571
50;11571
150;11571
50;11571
50;11571
100;11571
100;11571
50;11571
50;11571
150;11571
50;11571
50;11571
50;11571
100;11571
50;11571
300;11571
50;11571
50;11571
50;11570
200;11570
50;11570
100;11570
50;11570
50;11570
250;11570
100;11570
50;11570
50;11570
50;11570
100;11570
100;11570
150;11570
50;11570
100;11570
100;11570
50;11570
100;11570
50;11570
50;11570
50;11569
50;11569
50;11569
100;11569
50;11569
100;11569
50;11569
50;11569
50;11569
50;11569
50;11569
150;11569
50;11569
50;11569
50;11569
50;11569
50;11568
100;11568
50;11568
50;11568
50;11568
50;11568
50;11568
50;11568
50;11568
50;11568
50;11568
50;11568
50;11568
100;11568
50;11568
50;11568
50;11567
50;11567
50;11567
100;11567
50;11567
100;11567
50;11567
50;11567
50;11567
100;11567
50;11566
100;11566
200;11566
100;11566
200;11566
100;11566
100;11566
50;11566
50;11566
50;11566
50;11566
50;11565
50;11565
50;11565
50;11565
50;11565
50;11565
250;11565
100;11565
50;11565
50;11565
50;11565
50;11565
50;11565
300;11565
50;11565
50;11565
100;11565
50;11564
50;11564
100;11564
50;11564
50;11564
50;11564
50;11564
100;11564
50;11564
50;11564
50;11564
50;11563
200;11563
100;11563
50;11563
50;11563
100;11563
50;11563
100;11563
50;11563
50;11563
50;11563
100;11563
50;11563
50;11563
200;11563
50;11563
200;11563
50;11563
50;11562
50;11562
50;11562
200;11562
100;11562
50;11562
50;11562
50;11562
50;11562
50;11562
50;11562
50;11562
50;11562
50;11562
50;11562
50;11562
50;11562
100;11561
100;11561
50;11561
50;11561
50;11561
50;11561
150;11561
50;11561
100;11561
50;11561
150;11561
50;11561
50;11560
50;11560
100;11560
150;11560
50;11560
50;11560
100;11560
50;11560
50;11560
50;11560
50;11560
50;11560
150;11560
50;11560
100;11560
100;11559
50;11559
50;11559
50;11559
50;11559
100;11559
50;11559
50;11559
150;11559
50;11559
50;11559
50;11559
50;11559
50;11559
50;11559
50;11559
50;11559
100;11559
50;11559
50;11559
50;11559
50;11559
50;11559
50;11559
100;11558
50;11558
50;11558
200;11558
50;11558
50;11558
50;11558
100;11558
50;11558
50;11558
50;11558
50;11558
50;11558
100;11558
50;11558
50;11558
50;11557
100;11557
50;11557
50;11557
50;11557
200;11557
100;11557
50;11557
50;11557
100;11557
50;11557
50;11557
50;11557
50;11557
50;11557
50;11557
50;11557
200;11557
50;11557
50;11557
50;11557
50;11556
50;11556
50;11556
50;11556
500;11556
200;11556
100;11556
50;11556
50;11556
50;11556
50;11556
100;11556
50;11556
150;11556
50;11556
50;11556
50;11556
50;11556
100;11556
200;11555
200;11555
50;11555
50;11555
50;11555
50;11555
50;11555
50;11555
50;11555
50;11555
50;11555
50;11555
100;11554
50;11554
50;11554
50;11554
50;11554
100;11554
50;11554
50;11554
50;11554
100;11554
50;11554
50;11554
50;11554
50;11554
50;11554
50;11554
50;11553
50;11553
50;11553
50;11553
50;11553
100;11553
50;11553
50;11553
100;11553
50;11553
50;11553
50;11553
50;11553
50;11553
50;11553
50;11553
200;11553
100;11552
50;11552
50;11552
100;11552
100;11552
50;11552
100;11552
100;11552
50;11552
50;11551
150;11551
50;11551
450;11551
50;11551
100;11551
50;11551
300;11551
50;11551
50;11551
100;11551
50;11551
100;11551
100;11551
50;11551
50;11551
100;11551
50;11551
50;11551
50;11551
50;11551
50;11551
50;11551
500;11551
50;11550
50;11550
100;11550
50;11550
100;11550
50;11550
100;11550
100;11550
50;11550
50;11550
350;11550
50;11550
50;11550
50;11550
50;11550
100;11550
50;11550
50;11550
50;11550
100;11549
50;11549
250;11549
50;11549
50;11549
50;11549
50;11549
50;11549
50;11549
50;11549
50;11549
200;11549
200;11549
50;11549
50;11548
100;11548
50;11548
200;11548
50;11548
50;11548
100;11548
50;11548
50;11548
100;11548
50;11548
100;11548
50;11548
50;11548
50;11548
100;11548
50;11547
50;11547
50;11547
100;11547
100;11547
50;11547
100;11547
50;11547
100;11547
50;11547
350;11547
100;11547
50;11547
50;11547
50;11547
100;11547
50;11547
50;11547
50;11546
50;11546
100;11546
50;11546
100;11546
100;11546
50;11546
200;11546
50;11546
50;11546
50;11546
100;11546
50;11546
100;11545
50;11545
100;11545
50;11545
50;11545
200;11545
50;11545
50;11545
200;11545
50;11545
50;11545
300;11545
50;11545
50;11545
50;11545
50;11544
50;11544
50;11544
50;11544
50;11544
50;11544
50;11544
50;11544
50;11544
50;11544
50;11544
100;11544
50;11544
50;11544
50;11544
500;11543
50;11543
50;11543
50;11543
50;11543
100;11543
50;11543
50;11543
200;11543
100;11543
50;11543
50;11543
50;11543
50;11543
50;11543
50;11543
50;11543
50;11542
50;11542
200;11542
50;11542
100;11542
50;11542
150;11542
50;11542
100;11542
50;11542
50;11542
50;11542
100;11542
100;11542
50;11542
50;11542
100;11542
50;11542
500;11542
50;11542
50;11541
50;11541
200;11541
100;11541
50;11541
50;11541
250;11541
50;11541
200;11541
50;11541
50;11541
