"feature";"time"
150;1927
150;397
250;2602
100;408
150;94
250;1764
150;144
150;1712
100;7280
200;6669
100;10
100;1416
100;1175
100;2263
100;1827
100;3620
100;2213
100;1219
100;881
300;2047
100;79
100;6842
100;853
100;5912
100;59
100;4115
150;1670
100;23
100;1440
100;467
150;12
150;490
350;530
100;5848
100;2015
200;140
100;220
150;696
250;38
100;9
100;8628
200;4824
100;4209
100;457
150;632
300;13
150;806
550;1433
250;9962
100;1515
150;857
100;525
100;6801
100;6124
550;2777
100;125
100;6379
100;3555
100;1795
100;27
100;5
100;114
150;130
100;7964
150;562
100;2572
200;1306
100;1606
150;8343
100;2993
100;6062
100;506
100;7636
200;8172
100;174
100;78
350;77
100;8030
100;8574
150;3375
150;971
200;437
100;609
550;8364
250;8415
100;1356
100;97
150;5061
250;10
150;6430
150;15
100;270
150;818
100;846
150;46
150;991
350;5859
100;12
150;2365
100;2330
200;5047
100;5739
100;2679
100;10017
100;9614
100;1609
100;9399
250;787
200;1891
300;3848
150;6004
250;2249
100;66
100;3577
100;23
100;5381
150;5811
100;6043
100;5540
100;5106
250;14
150;3404
100;1916
150;5388
250;415
100;2318
100;2198
200;17
200;5473
100;7174
150;16
150;8611
100;7181
100;4738
250;7442
200;250
100;2045
100;1612
100;6783
150;4524
200;1910
200;5549
150;8149
350;8887
150;6447
250;202
100;16
100;7581
150;3298
200;5674
100;8825
100;7401
100;4277
100;8807
150;2499
350;1720
100;1526
100;6129
100;1820
100;75
150;1623
200;7331
100;1824
100;4272
200;2299
100;5
250;985
200;2146
150;6069
100;386
200;8075
150;1476
150;8624
100;102
200;4907
150;6601
100;408
100;64
100;1697
250;1244
100;1961
100;46
100;7227
100;838
200;1275
450;9795
100;797
150;289
100;6770
150;84
300;7085
100;3908
100;3248
150;44
150;7752
150;523
300;937
100;7361
100;13
150;4
350;5373
100;800
100;2278
100;39
250;1268
150;2536
100;60
300;989
300;7785
100;5920
100;2659
350;3193
100;18
100;7680
100;1625
100;4795
100;181
100;1690
100;7885
100;7877
100;6818
150;5530
150;8663
100;5976
100;7278
100;2379
100;2491
150;9910
100;8283
100;9130
200;5301
100;6291
100;3909
100;487
100;5214
100;37
100;6805
100;6461
100;90
150;3982
300;49
150;974
150;942
100;1310
150;2614
250;3839
100;37
150;2657
150;1418
100;4877
150;64
100;5
100;7971
250;1086
100;259
100;2175
100;5016
100;967
250;3153
100;312
150;2328
100;179
150;3334
100;1022
550;7916
100;2816
150;2896
100;8001
350;4584
100;6143
150;4439
100;202
100;7463
100;5722
150;4843
100;4571
100;15
100;5806
200;2655
100;1853
100;5818
100;6159
100;730
100;22
150;9427
100;3113
100;3674
150;6819
100;7701
100;2204
150;883
100;3648
100;309
200;322
150;6275
100;4387
150;7648
150;2879
100;1313
100;3873
100;1500
200;98
150;431
250;5780
150;41
100;4780
100;9243
100;4137
100;976
150;4660
150;7113
150;3367
100;6428
100;1245
200;5284
200;225
100;7371
200;9
100;4229
100;1220
100;1056
100;1140
100;9463
100;4628
100;4386
200;1142
300;383
300;2364
100;911
150;1386
550;6643
100;7431
150;4085
100;904
150;4412
100;2804
100;6203
150;6714
100;362
100;163
100;7479
100;2337
300;1178
100;14
100;9677
100;368
200;9605
150;3500
300;5155
100;66
150;15
100;2242
250;2512
100;7968
100;3102
100;4232
200;2266
100;5179
100;3954
200;13
100;46
100;4488
150;8299
100;6071
150;5606
150;7563
150;4254
150;2455
250;3583
250;37
100;2827
150;520
100;44
150;4419
100;4950
100;6433
150;8410
100;9070
150;25
200;1494
100;2344
100;7997
150;1019
100;843
100;8615
100;2431
100;1394
100;7416
100;9102
100;8181
100;3109
100;124
100;3253
150;88
150;7575
100;9384
100;488
150;176
100;2262
100;6535
150;196
150;4210
150;3610
200;27
150;4489
100;1249
150;1091
150;7012
100;8309
150;68
350;2531
100;9824
300;3075
100;9753
100;1730
100;514
100;5923
100;9360
100;2162
200;131
100;1795
150;5390
150;4391
100;2938
250;8351
100;7670
100;427
100;1113
100;1668
100;1380
200;6708
150;272
150;2911
100;2779
100;29
200;3177
100;258
100;207
550;1134
100;490
100;1215
100;784
150;439
100;4809
100;6487
100;7439
450;3030
150;1728
100;813
150;4509
200;927
100;201
100;1201
100;2971
100;1312
150;5345
100;3048
100;9150
100;6355
400;4935
250;162
200;3406
300;2782
100;803
150;806
300;4650
100;5676
250;7919
100;1495
100;2680
150;4387
100;3792
150;1172
150;3659
100;1528
100;3682
100;8821
100;8514
350;2160
100;8138
100;5528
300;49
100;378
100;7107
100;2888
100;2376
200;1822
450;9038
100;555
150;1271
300;8621
550;23
150;35
100;175
100;1606
350;58
100;5672
200;1074
100;4859
100;13
100;30
150;835
550;2923
250;3598
100;195
550;1436
100;10
150;9026
100;39
150;8047
150;2536
150;352
150;1057
100;1724
150;6792
150;444
150;909
250;8272
150;45
200;1412
400;127
100;54
150;28
100;1188
550;6260
550;6545
250;2911
100;1095
100;1491
250;4997
250;2467
150;3660
250;6757
150;3073
100;809
100;3166
100;2924
100;99
100;4428
150;4115
100;1114
200;8829
100;2433
100;7251
150;15
200;93
100;15
100;3991
150;7167
200;7267
200;8219
100;6095
100;7118
100;5158
100;1866
100;6639
100;2122
100;456
100;3921
100;35
100;5047
100;1985
100;4917
150;3294
100;5422
100;2461
150;2202
150;2618
100;2874
100;31
150;2129
150;4561
150;609
100;3862
150;4742
100;1780
150;111
250;4060
150;2005
100;1034
100;1167
100;5739
100;349
100;5783
100;7034
100;5000
100;3251
100;1380
350;2882
100;3325
100;57
100;4846
150;5243
400;1541
200;404
100;8712
100;7103
100;9015
100;1837
100;2342
100;2526
300;8407
