"feature";"time"
1;1927
1;397
1;2602
1;408
1;94
1;1764
1;144
1;1712
1;7280
1;6669
1;10
1;1416
1;1175
1;2263
1;1827
1;3620
1;2213
1;1219
1;881
1;2047
1;79
1;6842
1;853
1;5912
1;59
1;4115
1;1670
1;23
1;1440
1;467
1;12
1;490
1;530
1;5848
1;2015
1;140
1;220
1;696
1;38
1;9
1;8628
1;4824
1;4209
1;457
1;632
1;13
1;806
1;1433
1;9962
1;1515
1;857
1;525
1;6801
1;6124
1;2777
1;125
1;6379
1;3555
1;1795
1;27
1;5
1;114
1;3171
1;130
1;7964
1;562
1;2572
1;1306
1;1606
1;8343
1;2993
1;6062
1;506
1;7636
1;8172
1;174
1;78
1;77
1;8030
1;8574
1;3375
1;971
1;437
1;609
1;8364
1;8415
1;1356
1;97
1;5061
1;10
1;6430
1;15
1;270
1;818
1;846
1;46
1;991
1;5859
1;12
1;2365
1;2330
1;5047
1;5739
1;2679
1;10017
1;9614
1;1609
1;9399
1;787
1;1891
1;3848
1;6004
1;2249
1;66
1;3577
1;23
1;5381
1;5811
1;6043
1;5540
1;5106
1;14
1;3404
1;1916
1;5388
1;415
1;2318
1;2198
1;17
0;5473
1;7174
1;16
1;8611
1;7181
1;4738
1;7442
1;250
1;2045
1;1612
1;6783
1;4524
1;1910
1;5549
1;8149
1;8887
1;6447
1;202
1;16
1;7581
1;3298
1;5674
1;8825
1;7401
1;4277
1;8807
1;2499
1;1720
1;1526
1;6129
1;1820
1;75
1;1623
1;7331
1;1824
1;4272
1;2299
1;5
1;985
1;2146
1;6069
1;386
1;8075
1;1476
1;8624
1;102
1;4907
1;6601
1;408
1;64
1;1697
1;1244
1;1961
1;46
1;7227
1;838
1;1275
1;9795
1;797
1;289
1;6770
1;84
1;7085
1;3908
1;3248
1;44
1;7752
1;523
1;937
1;7361
1;13
1;4
1;5373
1;800
1;2278
1;39
1;1268
1;2536
1;60
1;989
1;7785
1;5920
1;2659
1;3193
1;18
1;7680
1;1625
1;4795
1;181
1;1690
1;7885
1;7877
1;6818
1;5530
1;8663
1;5976
1;7278
1;2379
1;2491
1;9910
1;8283
1;9130
1;5301
1;6291
1;3909
1;487
1;5214
1;37
1;6805
1;6461
1;90
1;3982
1;49
1;974
1;942
1;1310
1;2614
1;3839
1;37
1;2657
1;1418
1;4877
1;64
1;5
1;7971
1;1086
1;259
1;2175
1;5016
1;967
1;3153
1;312
1;2328
1;179
1;3334
1;1022
1;7916
1;2816
1;2896
1;8001
1;4584
1;6143
1;4439
1;202
