"feature";"time"
0;7556
0;1690
1;10374
0;397
0;2644
0;415
2;7805
0;114
0;3375
0;9
0;8925
0;2337
0;3073
0;5976
0;0
1;4541
0;5489
0;1670
0;4780
0;6227
0;6227
0;6227
0;6227
0;6227
0;6227
0;6227
0;6227
0;6227
0;6227
0;6669
0;9630
0;9630
0;9630
0;2193
0;177
0;9427
0;530
0;1822
1;5912
0;9962
0;2262
0;3245
0;5047
0;181
0;5611
0;6260
0;4950
0;8766
0;6107
1;7752
0;4905
0;9429
0;857
0;1085
0;5674
1;179
0;4824
0;2827
3;9222
0;6203
4;1268
0;97
0;5898
0;7636
0;632
0;775
0;6601
0;2659
0;6086
0;6275
0;2050
0;6004
0;1356
0;64
0;1663
0;8628
0;778
0;49
0;3298
0;8547
0;9795
1;3181
1;2043
0;8415
0;3734
0;1712
0;56
0;523
0;8343
0;7113
0;340
1;5742
0;1861
0;4137
0;5372
0;44
0;937
0;220
3;787
0;5117
0;16
0;408
0;8419
0;174
0;66
0;7278
0;5106
1;1416
0;3585
0;7785
0;807
0;13
0;490
0;1670
0;302
1;2
0;9709
0;78
0;27
0;3093
0;2480
0;3024
0;1827
0;1190
0;8825
0;5044
0;853
0;36
0;7085
0;1764
0;8887
0;2263
0;2059
0;6238
1;2213
2;4571
0;3583
0;9350
0;9417
0;3577
0;7581
0;5388
0;6027
0;1515
0;7463
0;1891
0;2911
0;441
0;4254
0;4795
0;467
0;457
0;5540
0;585
0;806
1;9038
0;8714
0;6124
0;6983
0;2318
0;984
0;7885
0;6658
0;7280
0;7968
0;6062
0;31
0;255
0;8145
0;525
0;4524
0;7416
0;6447
0;7964
0;27
0;7174
0;609
0;1313
0;1795
0;4115
0;818
0;14
0;59
1;3620
0;6430
0;304
0;60
0;7181
0;6341
0;2381
0;9
1;1927
0;696
0;6957
0;144
0;7287
0;1476
0;6043
4;6819
0;1526
0;8807
0;2249
0;8030
0;90
0;79
0;846
0;140
0;125
0;2242
0;1175
0;23
0;5859
0;12
0;971
0;2572
3;2879
2;2047
0;5
0;4209
1;276
0;2602
0;6842
0;8574
0;6801
0;6379
2;1440
0;1433
1;2015
0;12
0;10
0;8172
0;5848
0;506
0;5473
0;2993
0;7401
0;881
0;1219
0;437
0;3555
0;1306
1;562
0;1140
0;8364
0;2536
0;102
0;38
0;10
0;2777
0;15
0;94
0;5061
0;1606
0;130
0;2365
0;991
0;6805
1;77
0;7227
0;408
0;2330
0;46
2;10017
0;9614
1;3404
0;3848
0;9399
0;4738
0;5811
0;2679
0;5739
0;1916
0;66
0;2198
0;23
0;7442
2;2901
0;3629
0;6783
0;4742
0;270
0;8611
1;5381
0;6069
1;2045
0;980
4;1019
0;1612
0;202
0;1528
0;6809
0;1609
0;8384
1;4907
0;2657
0;4391
0;967
1;250
0;2499
0;18
0;8149
0;5549
2;3873
0;75
0;8827
0;3908
0;1720
1;16
0;6535
3;1697
0;2491
0;1910
0;1824
0;8075
1;4876
0;4272
0;312
0;2299
2;1244
0;6129
0;1961
1;3909
0;4
0;4277
0;1820
0;17
0;1623
0;985
0;386
0;7877
0;9618
0;2146
0;3248
0;7331
0;8484
0;39
0;8624
0;64
0;797
6;22
