"feature";"time"
37;7556
10;1690
5;10374
4;397
6;2644
3;415
1;7805
1;114
2;3375
2;9
1;8925
3;2337
1;3073
3;5976
12;4541
9;5489
29;1670
2;4780
1;6669
33;9630
8;2193
8;177
2;9427
3;530
3;1822
10;5912
1;9962
1;2262
1;3245
1;5047
1;181
11;5611
1;6260
1;4950
4;8766
13;6107
2;7752
12;4905
5;9429
2;857
6;1085
3;5674
3;179
1;4824
1;6203
2;1268
4;97
4;5898
6;7636
2;632
2;6601
1;2659
5;6086
1;6275
14;2050
4;6004
3;1356
7;64
1;1663
1;8628
4;778
3;3298
4;8547
1;9795
1;3181
6;2043
1;8415
5;1712
2;56
2;523
1;8343
6;7113
33;5742
1;1861
4;5372
2;937
1;787
4;5117
15;16
1;408
8;8419
3;174
2;66
1;7278
3;5106
8;7785
4;807
1;13
3;490
1;302
1;2
3;9709
1;27
6;3093
5;2480
2;3024
1;1827
2;1190
4;5044
2;853
5;36
2;7085
2;1764
1;8887
2;2263
3;2059
2;6238
3;4571
1;3583
10;9350
9;9417
5;3577
5;5388
3;7463
1;2911
6;441
2;4254
1;4795
1;467
2;457
1;5540
2;585
3;9038
1;8714
1;6983
3;2318
4;984
4;7885
4;6658
1;7280
1;7968
1;31
5;255
2;4524
4;7416
3;6447
2;7964
1;27
1;7174
1;1795
2;59
1;3620
1;6430
5;304
1;60
1;7181
1;6341
7;2381
2;9
6;6957
4;7287
3;1476
1;6043
3;6819
4;1526
1;8807
2;2249
4;140
1;125
1;2242
7;1175
1;23
1;5859
1;12
2;971
2;2572
1;2879
3;2047
1;3171
1;4209
2;8574
12;6801
4;6379
8;1440
1;1433
1;2015
3;8172
1;506
3;5473
6;7401
1;881
2;437
2;3555
3;1306
1;562
4;2536
1;102
3;38
1;10
6;5061
1;1606
1;2365
2;77
1;7227
1;408
1;2330
1;46
1;3404
1;9399
4;4738
1;5811
3;2679
1;5739
1;66
3;23
4;7442
3;2901
1;3629
1;6783
2;4742
1;270
3;8611
1;5381
4;2045
2;980
3;6809
1;1609
3;8384
1;4907
1;2657
1;4391
2;2499
2;5549
3;3873
1;8827
6;3908
1;1720
1;6535
1;1697
1;1824
10;4876
1;312
1;1961
4;3909
1;4277
1;1820
1;1623
4;985
5;386
3;9618
7;2146
4;3248
1;7331
5;8484
3;39
2;8624
1;64
1;22
2;1853
1;84
4;838
1;5
2;13
5;289
5;7680
2;1625
2;7361
3;28
4;1495
3;9384
2;2448
1;6461
1;176
1;5373
2;46
6;9463
1;1022
2;4791
1;989
2;9910
2;9130
1;6818
5;3153
2;5920
2;44
3;2614
1;5530
4;7648
1;2896
3;37
1;5301
1;9180
5;2379
3;2971
1;6143
2;3839
1;3982
1;5
2;4877
4;7479
1;1310
3;1418
1;64
1;3334
2;487
2;2175
1;3954
1;6433
23;261
23;6059
2;2816
1;5606
1;9451
1;5016
1;7701
1;4439
2;7103
9;2655
3;2328
3;4387
2;2680
1;5818
2;1436
1;322
2;41
2;2915
1;3558
1;883
1;98
1;431
1;5780
3;383
1;1724
3;3648
1;362
3;730
1;309
3;6428
2;7167
4;1500
1;4386
2;7371
2;124
3;3579
2;911
2;4628
1;6714
1;1220
4;6643
1;15
1;3500
2;368
2;4859
2;5923
4;4419
1;1056
2;7997
2;904
3;2364
3;5179
1;30
3;4968
3;1386
1;4210
1;6071
1;1795
1;1730
2;13
1;7314
3;2455
1;2938
2;6972
2;14
1;1134
3;8181
3;46
2;2512
3;9
2;2344
1;99
3;8410
2;2911
1;37
3;3253
1;8615
2;2431
4;9102
1;813
2;68
1;3177
2;3075
2;1773
6;7575
1;196
2;3610
2;8309
1;514
2;2342
2;9360
8;122
5;27
1;88
2;3109
1;9824
3;4303
1;201
2;6355
1;4489
5;9753
2;2531
1;6943
1;7012
1;427
5;7670
3;3030
1;2160
1;490
1;1167
1;4428
1;4561
2;1249
1;1380
1;1728
2;7439
1;6708
1;1091
2;3354
1;5390
1;131
1;1368
1;927
2;439
4;4809
3;272
3;7267
