"feature";"time"
0;1927
2;397
0;2602
0;408
0;94
1;1764
0;144
2;1712
0;7280
0;6669
2;961
0;10
0;1416
2;1175
1;2263
0;1827
0;3620
0;2213
0;1219
2;2921
0;881
1;2047
0;79
0;6842
1;853
3;5912
1;59
0;4115
0;1670
0;23
3;1440
0;467
0;12
1;490
1;530
0;5848
0;2015
2;140
0;220
1;8394
0;696
1;38
1;9
0;8628
0;4824
0;4209
1;457
1;632
0;13
0;806
0;1433
0;9962
0;1515
1;857
0;525
3;6801
0;6124
0;2777
0;125
2;6379
1;3555
0;1795
0;27
0;5
0;114
0;130
1;7964
0;562
1;2572
1;1306
0;1606
0;8343
0;2993
0;6062
0;506
2;7636
1;201
1;8172
1;174
0;78
1;77
0;8030
1;8574
1;3375
1;971
1;437
0;609
0;8364
0;8415
0;833
1;1356
2;97
1;1844
2;5061
1;1646
0;10
0;6430
0;15
0;270
0;818
0;846
0;46
2;482
0;991
0;5859
0;12
0;2365
0;2330
0;5047
0;5739
1;2679
0;10017
0;9614
0;1609
0;9399
0;787
0;1013
0;1891
0;3848
2;6004
2;7136
1;2249
0;66
2;3577
1;23
0;5381
3;3163
0;5811
0;6043
0;5540
1;5106
0;14
0;3404
0;1916
2;5388
1;415
1;2318
0;2198
0;17
1;5473
0;7174
0;16
1;8611
0;7181
2;4738
2;7442
0;250
2;2045
0;1612
0;6783
1;4524
0;1910
2;2449
1;5549
0;8149
0;8887
1;6447
0;202
3;16
0;7581
1;3298
1;5674
1;2879
2;7555
0;8825
2;7401
0;4277
3;333
0;8807
1;2499
0;1720
1;1422
2;1526
0;6129
0;1820
0;75
0;1623
0;7331
0;1824
3;1556
0;4272
0;2299
1;5
0;3323
2;985
2;2146
0;6069
2;386
0;8075
1;1476
1;8624
0;102
0;4907
1;6601
0;408
0;64
0;1697
0;1244
0;1961
1;46
1;7227
2;838
0;1275
0;797
1;7040
2;289
0;6770
0;84
2;1812
1;7085
2;3908
2;3248
1;44
1;7752
1;523
1;937
1;7361
1;13
0;4
0;5373
0;800
0;2278
1;39
1;1268
2;2536
3;8245
0;60
0;989
3;7785
1;5920
0;2659
0;3193
0;18
2;7680
1;1625
0;4795
0;181
3;1690
2;7885
0;7877
0;6818
0;5530
0;8663
2;2812
1;5976
0;7278
2;2379
2;8608
0;2491
1;9910
0;8283
1;9130
0;5301
0;6291
2;3909
1;487
0;5214
0;37
0;6805
0;6461
0;90
1;722
1;5
0;3982
0;49
0;974
0;942
0;1310
1;2614
1;3839
1;37
0;2657
1;1418
1;4877
0;64
0;5
0;7971
0;1086
0;259
1;2175
0;5016
0;967
2;3153
0;312
1;2328
1;179
0;3334
0;1022
2;1925
0;7916
1;394
1;2816
0;2896
1;1234
0;4192
0;8001
0;4584
0;6143
0;4439
0;202
1;1011
1;7463
0;5722
0;4843
1;4571
0;15
0;5806
0;739
3;2655
1;1853
0;5818
0;6159
1;730
0;412
0;22
1;9427
0;3113
0;3674
2;6352
1;6819
0;7701
0;2204
0;883
1;3648
0;309
0;322
0;6275
1;4387
2;7648
0;2879
1;2100
0;1313
1;3873
2;1262
2;1500
0;98
0;431
0;5780
1;41
1;4780
0;9243
0;4137
0;976
0;4660
2;7113
0;3367
1;6428
1;37
0;1245
0;5284
0;225
1;7371
1;9
0;4229
0;1220
0;1056
0;1140
2;9463
1;4628
0;4386
0;1142
1;383
1;2364
1;911
2;6643
0;7431
2;8997
0;4085
1;904
0;4412
0;2804
0;6203
0;6714
0;362
0;163
2;7479
1;2337
0;1178
1;14
0;9677
1;368
0;9605
0;3500
0;5155
1;66
0;15
0;2242
1;2512
1;3917
0;7968
0;3102
0;4232
0;2266
1;5179
0;3954
1;13
1;1093
1;46
0;4488
0;8299
0;6071
0;5606
0;7563
1;4254
2;0
1;2455
0;3583
0;37
0;0
0;2827
0;520
0;44
2;4419
0;4950
0;6433
1;8410
3;3680
0;9070
0;25
0;1494
1;2344
1;7997
0;1019
0;843
0;8615
2;4664
1;2431
0;1394
2;7416
2;9102
1;8181
1;3109
1;124
1;3253
0;88
2;7575
1;9384
0;488
0;176
0;1384
0;2262
0;6535
0;196
0;4210
1;3610
2;27
0;3946
0;4489
1;1249
0;1091
0;7012
1;8309
1;68
1;2531
0;9824
1;3075
2;9753
0;1730
0;514
1;5923
1;9360
0;2162
0;131
0;1795
2;1458
0;5390
0;4391
0;2938
0;8351
2;7670
1;47
0;427
1;1171
0;1113
2;2091
2;1668
0;1380
0;6708
1;272
1;2911
1;2779
0;29
2;98
0;3177
0;258
0;207
0;1134
0;490
0;1215
0;784
1;439
2;4809
0;6487
1;7439
1;302
1;3030
0;1728
0;813
0;4509
0;927
0;201
0;1201
1;2971
0;1312
0;5345
0;9930
0;3048
0;9150
1;6355
0;4935
0;162
0;3406
0;2782
0;803
0;806
0;4650
0;5676
1;7919
2;1495
1;2680
0;125
1;4387
0;3792
0;1172
0;3659
0;1528
1;437
0;3682
1;8821
2;726
1;8514
0;2160
0;8138
1;5528
0;49
0;378
0;7107
0;2888
0;2376
2;9946
1;1822
1;9038
2;5058
0;555
0;1271
1;8621
0;23
0;2616
0;35
1;175
0;1606
0;58
0;5672
0;1074
1;4859
0;13
0;30
0;835
3;41
0;2923
0;3598
2;3
0;195
1;1436
0;10
0;9026
0;39
3;6057
1;8047
0;38
1;2536
0;352
1;1057
0;1724
1;6792
0;444
0;909
0;8272
2;45
0;1412
1;127
0;54
1;28
2;1188
0;6260
0;6545
0;2911
0;1095
0;1491
0;4997
0;2467
0;3660
0;6757
0;3073
0;1339
1;809
0;3166
0;2924
0;99
0;4428
1;1113
0;4115
2;1114
0;8829
1;87
0;2433
0;7251
0;15
2;93
0;15
0;3991
1;7167
1;7267
0;8219
0;6095
0;7118
0;5158
0;1866
0;6639
0;2122
0;456
1;3921
1;63
0;35
0;5047
0;1736
0;1985
0;4917
0;3294
0;5422
0;2461
0;2202
1;2618
0;2874
0;31
0;1544
1;3197
0;2129
0;4561
0;609
1;3123
1;3862
1;4742
0;1780
0;111
1;4060
1;2005
0;413
1;8126
0;1034
0;1167
0;12
0;5739
0;349
1;5783
1;7034
0;5000
1;3251
0;8894
0;1380
0;2882
1;3325
1;57
0;4846
0;5243
1;1541
2;404
1;8712
1;7103
1;9015
0;1837
1;2342
0;2526
0;8407
0;7314
0;1368
1;1773
1;740
0;1549
3;8734
0;2392
0;2728
0;6531
0;1230
0;2009
0;830
0;9
1;1191
0;4160
0;1545
2;42
0;3750
1;8
0;6112
1;7394
1;1165
0;196
1;2142
2;2389
0;55
0;402
2;9267
0;1028
0;890
0;328
1;1358
0;662
0;298
0;1219
0;9782
0;4072
0;3161
0;13
1;3354
0;50
0;3
1;3579
0;6105
0;2512
0;8
0;1894
0;2773
0;1226
1;6124
0;78
0;8938
0;4207
1;73
0;4375
1;6848
1;4620
0;4406
0;2368
0;280
0;302
0;1386
0;5601
0;2108
0;2309
0;3742
2;3066
0;2875
0;4685
0;1463
0;7
0;120
0;2984
1;2692
0;3161
1;2225
0;2583
0;1652
2;516
0;93
0;50
0;2564
0;1295
0;6916
0;1709
1;639
0;7295
0;4895
1;5128
0;197
1;21
0;9160
0;6342
0;2841
0;9640
0;2496
0;3629
0;602
0;3478
0;19
0;648
0;8275
0;2437
1;4536
1;34
1;2008
0;4077
0;3226
0;2299
1;15
0;391
0;81
1;8590
0;758
0;4731
1;2047
0;3492
0;1937
1;6375
1;5352
0;4582
0;41
0;5425
0;7294
1;3286
0;108
1;2059
0;207
0;855
1;3042
0;9504
1;2955
0;7160
0;1083
0;2050
0;9725
1;10
2;1271
0;533
0;6957
1;1479
0;13
0;3211
0;4074
0;1058
0;4908
0;1012
0;976
0;3210
0;1997
0;6496
1;2718
0;663
2;1764
0;8617
0;4406
2;6051
0;7141
0;2754
0;1807
0;5884
0;3803
0;3897
1;8607
1;4527
0;57
1;2434
3;160
1;5835
1;396
0;55
0;61
0;5268
0;1471
0;8145
1;1939
0;516
0;6078
0;102
2;3170
0;4659
0;1974
0;725
1;372
0;3647
0;1339
0;24
2;907
0;3053
0;1273
0;2478
1;23
0;3476
0;8203
0;1962
1;2655
0;5152
0;22
0;7292
0;1720
0;2608
0;75
1;5093
0;6111
1;1338
0;708
0;4503
0;2461
0;108
0;6017
0;1956
0;5490
0;699
0;3445
0;121
2;808
2;4628
0;7006
0;59
2;9951
1;9444
1;1553
0;3837
0;562
0;799
0;6532
2;2381
0;342
0;3208
3;3759
1;806
0;7488
0;1244
0;8632
0;3034
0;2749
1;1924
0;2979
0;4013
2;1794
1;7389
1;6516
1;917
0;7225
0;6595
0;2007
1;4842
2;4673
1;7178
0;579
0;1689
1;7094
0;3167
2;1700
0;1492
0;7064
0;4021
0;1297
0;220
0;5734
2;2691
0;1534
1;5473
1;6373
0;5155
1;3136
0;3690
0;1453
0;1031
0;16
0;2173
0;5693
0;1350
1;1330
1;5733
0;3813
1;626
0;8988
1;8867
1;3511
1;6231
0;906
0;223
1;3827
0;12
0;5180
0;8018
1;1053
0;1729
0;2950
0;8978
1;8057
0;79
0;2014
0;6533
1;5059
0;188
1;9610
1;33
0;15
2;1756
0;7224
2;6961
0;6141
2;2612
0;6692
0;1377
0;6422
0;1709
0;256
0;9769
0;7929
0;608
0;1791
0;5124
1;4705
1;5757
0;8859
0;4723
0;228
1;9061
0;5390
0;2507
0;2497
2;1585
0;1848
0;276
1;9859
0;1589
0;4350
0;4619
1;5262
0;5887
0;91
1;1207
0;7832
0;2363
0;6094
0;1358
0;2307
0;5892
1;326
0;227
0;3180
1;4565
0;4090
0;9451
1;12
2;5324
0;3250
1;1470
1;5606
0;630
0;1608
0;1104
0;1479
3;3368
0;284
0;4370
0;19
0;4778
0;6944
2;4518
1;5132
1;1236
1;3775
0;5210
1;589
0;218
0;992
0;18
0;5142
0;623
0;5845
0;4546
0;2676
1;9755
2;4035
0;3144
0;5539
0;10031
1;533
0;7696
0;2912
0;391
1;2942
0;7105
0;5861
1;306
1;1524
0;4405
0;701
0;3999
0;492
1;98
0;5235
0;4091
0;4201
1;1973
1;5
0;5787
1;9784
0;51
0;5601
0;9120
0;1688
1;1647
2;5421
1;6676
0;2113
0;8644
0;9289
0;3173
1;2532
1;3018
1;3169
0;2830
1;408
1;333
0;7297
1;2923
1;7520
0;8845
2;6721
0;1371
2;2377
0;1158
0;2849
2;2428
0;5183
0;57
1;6804
0;3189
0;2548
1;674
2;4321
1;6
0;4111
1;90
0;3488
0;6
0;31
1;6792
2;9471
0;3173
0;1879
2;3859
2;5150
1;8854
3;460
0;1999
1;9832
0;3000
1;1577
0;9149
0;1269
0;2769
0;963
0;7641
1;5400
0;1908
1;1349
0;2547
0;5189
2;4187
1;5976
2;2963
1;153
1;6156
1;6351
0;1045
1;4968
0;1339
0;3443
0;5958
0;4426
3;847
0;517
0;10080
0;2995
0;9827
0;3826
0;5338
2;1056
0;5657
1;3787
0;1571
0;189
1;6672
0;8232
0;3061
0;2930
1;7259
1;1158
0;1418
1;16
0;9058
0;2832
0;81
0;5665
0;8965
0;316
0;8660
1;3113
2;1526
0;2696
0;8327
2;612
0;2699
0;9406
0;844
2;1390
0;1542
0;5061
0;909
0;3694
1;1193
1;2846
1;5779
1;9262
0;49
0;85
0;5003
0;2052
0;2412
1;7488
2;111
0;3462
2;1624
0;118
0;4174
0;9674
0;3420
0;413
0;600
0;4575
0;2454
0;9024
1;2885
1;947
0;5766
0;3575
1;6898
0;3594
1;7208
0;298
0;3929
0;3778
0;9924
0;5551
0;59
0;2099
1;5356
1;8214
0;8492
0;206
0;1553
1;3424
0;1595
0;2301
0;1740
0;580
1;1841
1;9652
1;10
0;1925
0;3520
0;859
0;3062
1;5969
1;1407
0;3049
0;3306
0;9039
0;1513
0;1975
0;2770
0;19
0;1271
0;327
0;402
1;2169
0;6560
3;433
0;37
1;620
1;630
0;6752
0;3540
0;3345
3;5496
0;632
0;50
0;709
0;271
0;94
0;47
0;361
0;3641
0;2788
0;1525
0;1138
0;4353
0;673
0;4645
0;228
0;1025
0;6709
0;327
0;8700
0;1469
2;3042
0;984
1;61
0;2888
0;9360
0;1748
2;2630
0;230
0;972
0;9600
0;7114
1;5609
2;5171
2;9868
0;224
0;1213
1;9897
0;24
0;53
0;8349
0;465
0;2385
0;7
0;848
0;8485
0;4750
0;236
1;2225
0;1045
0;3
0;7655
0;6943
0;4288
0;4067
0;3553
1;3352
1;3772
0;72
0;169
1;7391
0;134
0;3703
1;292
2;1815
2;8824
1;940
0;3745
0;476
1;5710
0;265
0;1353
1;639
0;8158
1;8309
0;541
0;6261
0;5833
1;799
1;6737
0;2262
0;229
1;1255
2;3637
1;4025
0;703
1;6195
0;10
0;9856
0;1624
1;2323
0;214
0;2807
1;980
0;5547
0;1155
0;3788
0;3437
0;5733
0;4705
1;598
0;134
3;2050
0;2342
0;4468
2;177
0;65
2;7616
0;3764
0;837
0;146
1;239
0;8322
0;2795
0;10
0;430
0;6292
0;4081
1;6828
1;3050
0;5231
0;4227
0;5366
0;9438
1;4726
0;522
0;538
0;6041
0;1487
2;840
0;839
0;10017
1;9802
0;5123
1;7103
2;2765
0;971
0;6881
0;4537
0;8813
0;2784
0;1363
1;3076
0;3257
0;8511
2;4795
0;51
0;580
0;1168
0;3214
1;5697
0;9470
0;2546
0;8720
2;27
1;4968
0;9311
1;5185
0;8727
1;7444
0;43
0;1629
0;5696
0;8294
1;9178
1;8380
0;3227
0;4749
0;1548
0;6949
0;7210
0;4997
1;8501
1;6945
0;3268
0;3204
0;360
1;27
0;2768
0;4319
0;5
0;1181
0;7184
0;5240
0;3978
0;365
1;6176
0;5248
0;1426
0;5614
0;6809
0;1795
0;576
0;5379
0;32
3;5036
0;222
0;2987
0;6775
1;1
0;7023
0;9968
1;48
0;14
0;5122
0;558
0;7287
0;1734
0;8462
0;8186
1;51
0;9328
0;2634
0;695
1;2810
0;4763
0;9875
0;1806
0;572
0;2841
0;2848
0;1903
0;5813
3;2311
0;9564
1;32
2;6238
1;1534
0;9183
0;9729
1;2134
0;1989
1;330
2;9179
0;6650
0;705
0;2759
0;1204
0;3585
2;9501
1;4628
0;4112
0;6709
1;542
0;5620
2;4318
0;8988
0;970
0;35
0;8501
0;701
0;3319
1;5857
1;832
2;27
0;3192
0;867
0;394
2;9104
0;3552
0;7035
0;2693
0;8345
0;2786
0;5530
0;1285
0;3831
0;3325
0;693
0;3899
0;7311
0;7064
1;2985
0;13
0;9
0;7022
0;692
0;548
0;8636
1;542
0;8894
0;957
0;23
2;7048
1;2278
1;7740
0;403
0;6190
0;730
1;8496
0;2477
0;2456
0;979
0;6488
0;7354
1;2152
0;2769
0;1196
1;192
0;9573
0;3918
1;179
2;3501
0;3612
1;212
0;9752
0;6
2;2655
0;723
0;26
0;3125
0;182
0;486
2;7723
0;2789
0;5542
0;1961
0;1071
0;588
0;1353
0;3554
1;9875
0;8407
0;2232
0;2602
0;624
0;1663
0;648
1;1878
0;6458
1;7118
0;7458
0;17
0;32
0;1920
0;399
0;5680
0;9965
0;52
0;2700
1;9556
0;3168
0;3374
0;4860
0;1975
0;3909
0;6525
1;7514
0;4575
0;94
1;4519
1;3193
0;5919
1;3816
0;6768
0;7401
0;3615
1;13
0;693
0;2919
0;4780
0;1543
0;1538
0;6731
0;3262
0;297
0;6111
0;100
0;3054
0;827
0;1622
0;5356
1;5488
0;843
0;1393
0;2258
0;21
0;6951
1;69
1;64
0;8662
2;1510
1;10023
0;4835
1;151
2;285
0;46
0;1291
0;119
0;8628
1;441
0;232
0;4946
0;179
0;8718
0;6327
1;7249
0;4762
0;7239
0;962
0;10045
0;1088
0;5135
1;3782
0;7
0;3253
0;6465
1;6877
0;4811
0;7538
1;7758
0;236
0;2528
1;17
0;9529
0;52
1;1190
0;1538
0;678
1;7784
0;124
0;33
0;663
0;7101
0;11
0;4069
0;3497
0;6171
0;8690
0;5471
0;7276
0;377
0;2783
0;365
0;6959
1;5
0;662
1;8627
0;2527
0;2931
0;2437
0;206
1;2450
0;887
0;3874
0;3934
0;9307
0;546
0;11
0;168
2;7363
0;6135
0;3656
1;547
0;41
0;8489
1;6751
0;121
0;177
0;1160
1;2721
0;118
0;1085
0;221
0;18
1;1634
0;4312
1;4569
2;7932
1;3997
0;2847
0;7904
0;657
0;232
0;1106
0;3307
0;2520
0;1874
0;1401
1;3910
0;1206
2;4386
1;7526
2;355
1;7033
0;6157
0;322
0;851
0;579
1;5729
0;2
0;9970
1;1426
1;5365
0;2888
1;23
0;5848
0;2965
2;6064
0;5518
1;301
0;470
0;4383
0;1196
0;282
0;52
0;2034
0;1474
1;3004
0;1025
0;1011
2;2771
0;4044
1;3044
0;1092
0;6474
2;8901
0;140
0;6244
0;5017
0;1566
2;8415
1;4036
0;3948
0;418
0;959
0;4978
1;7853
0;5313
0;2661
0;21
0;1593
0;8186
0;6022
0;6870
0;6
0;8848
0;2080
0;7900
1;3381
0;4014
0;2671
3;4252
2;6209
0;6003
2;3805
0;12
1;8
0;33
0;74
0;9026
0;3062
0;253
0;4254
0;1297
0;101
0;6055
0;569
1;9707
0;1303
0;1
0;276
1;2954
0;5903
0;8252
0;25
0;1522
2;19
0;674
0;1208
0;4190
0;5823
0;1651
0;5485
0;6057
0;2689
0;4695
0;9180
0;6401
0;3665
2;8025
0;4112
0;8640
0;2793
0;7341
0;3326
1;10005
0;5679
1;8799
0;5928
0;4349
0;6825
1;5249
2;6
0;6705
0;9244
0;875
0;1254
1;9942
2;7517
1;1010
0;2883
1;7593
0;2613
0;1668
0;559
0;2480
0;4082
1;1354
0;352
2;2816
0;3501
0;3157
0;3979
0;503
0;21
3;4808
0;171
0;8595
0;5425
1;6972
0;1811
0;2008
0;3369
0;291
0;233
0;1203
0;1362
0;4372
0;181
0;1688
1;3927
0;5714
2;8126
0;20
0;1658
0;6387
0;1154
0;3623
2;7322
0;287
1;2598
0;7622
0;5583
1;4652
1;2001
0;1495
0;706
1;766
0;9045
0;11
0;45
0;7597
0;4564
0;3109
0;143
0;235
0;7805
2;9195
0;661
0;6110
0;31
0;3312
1;1052
0;7183
0;689
2;3732
0;3741
0;21
0;8620
1;7094
0;1
2;7914
0;390
2;184
0;5547
0;1011
1;4823
0;4238
0;3809
0;2863
0;4301
0;6083
2;4047
1;2764
0;291
0;4480
0;9751
2;6549
0;2295
0;668
1;4591
0;5595
0;1311
0;4484
0;8136
0;466
0;488
0;2146
1;2190
0;581
0;1369
1;5762
1;7237
0;21
1;7125
0;3491
0;2101
1;9700
0;4897
1;4370
0;9712
1;7866
0;4521
0;78
1;3401
0;2069
0;4061
0;4550
0;158
0;2571
0;7942
1;3319
0;3871
0;5084
0;88
0;6678
0;4069
1;2916
0;9381
1;9442
0;4747
0;2788
0;4737
0;2732
1;300
0;1786
1;3066
0;318
0;5112
0;1758
1;3442
1;9737
0;4904
0;6969
0;4392
0;3453
0;5660
0;2846
0;56
0;13
0;1769
0;5544
2;2782
1;9954
0;421
0;526
2;5519
1;6913
0;8490
0;2746
0;8587
0;1075
0;1201
0;3314
0;1563
0;5490
0;5978
0;6534
0;3005
0;6073
1;6678
1;8729
1;4416
0;132
1;8371
0;3876
0;8635
0;7115
0;95
0;1877
0;1070
1;1793
0;6463
1;6994
0;10027
0;312
1;8437
0;4261
0;489
0;4505
0;3191
0;7633
1;7648
2;3590
1;212
0;6059
0;625
0;677
0;4835
1;296
0;4221
1;7876
0;1685
1;4393
0;7367
0;9510
0;709
0;5994
0;1171
1;1876
0;3795
2;1117
